trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1523,False,"{'a': 0.002, 'e': 0.047643932105608536}",20,8,21.594312265904108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1524,False,"{'a': 0.002, 'e': 0.04754873946576803}",20,16,7.989242639036659,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1525,False,"{'a': 0.002, 'e': 0.0474537370209488}",20,15,11.696921155914263,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1526,False,"{'a': 0.002, 'e': 0.04735892439114091}",20,13,12.961349031266467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1527,False,"{'a': 0.002, 'e': 0.047264301197093746}",30,0,29.651632599618246,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
1528,False,"{'a': 0.002, 'e': 0.04716986706031437}",35,14,37.93141738776462,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1529,False,"{'a': 0.002, 'e': 0.04707562160306615}",30,23,14.808602947755709,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1530,False,"{'a': 0.002, 'e': 0.04698156444836709}",25,18,15.397137232135885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1531,False,"{'a': 0.002, 'e': 0.046887695219988486}",25,18,13.762049192205133,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1532,False,"{'a': 0.002, 'e': 0.04679401354245326}",20,10,18.204858726526535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1533,False,"{'a': 0.002, 'e': 0.04670051904103461}",20,16,6.871694363480203,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1534,False,"{'a': 0.002, 'e': 0.04660721134175438}",25,10,24.970155899435486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1535,False,"{'a': 0.002, 'e': 0.04651409007138167}",30,18,25.419962272051862,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1536,False,"{'a': 0.002, 'e': 0.04642115485743125}",20,14,11.522286865451044,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1537,False,"{'a': 0.002, 'e': 0.046328405328162174}",20,0,-6.311440034791245,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1538,False,"{'a': 0.002, 'e': 0.046235841112576184}",20,6,21.364560911593625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1539,False,"{'a': 0.002, 'e': 0.04614346184041627}",30,16,-8.88982758387664,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
1540,False,"{'a': 0.002, 'e': 0.046051267142165266}",20,8,-17.145948145152218,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1541,False,"{'a': 0.002, 'e': 0.045959256649044204}",30,19,21.360859173729782,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1542,False,"{'a': 0.002, 'e': 0.04586742999301104}",25,5,37.54666942945517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1543,False,"{'a': 0.002, 'e': 0.04577578680675899}",20,8,21.60794068996601,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1544,False,"{'a': 0.002, 'e': 0.04568432672371522}",25,13,13.5745738293026,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1545,False,"{'a': 0.002, 'e': 0.045593049378039235}",20,10,19.84546413501786,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1546,False,"{'a': 0.002, 'e': 0.04550195440462157}",30,16,26.38796944459246,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1547,False,"{'a': 0.002, 'e': 0.04541104143908218}",25,15,22.253440494462982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1548,False,"{'a': 0.002, 'e': 0.04532031011776911}",20,14,10.889648406639695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1549,False,"{'a': 0.002, 'e': 0.04522976007775692}",30,18,13.695604660545953,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1550,False,"{'a': 0.002, 'e': 0.04513939095684536}",20,2,27.009051490674214,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1551,False,"{'a': 0.002, 'e': 0.0450492023935578}",30,14,17.648550179735953,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1552,False,"{'a': 0.002, 'e': 0.0449591940271399}",20,9,17.33810497192153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1553,False,"{'a': 0.002, 'e': 0.04486936549755803}",20,14,14.893711720735604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1554,False,"{'a': 0.002, 'e': 0.044779716445498004}",25,13,22.183653030464946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1555,False,"{'a': 0.002, 'e': 0.04469024651236344}",25,6,10.883614609158382,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
1556,False,"{'a': 0.002, 'e': 0.044600955340274535}",25,17,19.074159453331003,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1557,False,"{'a': 0.002, 'e': 0.04451184257206644}",30,20,18.48171756408733,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1558,False,"{'a': 0.002, 'e': 0.044422907851287996}",25,17,17.01865257775045,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1559,False,"{'a': 0.002, 'e': 0.04433415082220017}",25,16,-25.50734606974249,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1560,False,"{'a': 0.002, 'e': 0.04424557112977477}",25,15,20.73619843647019,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1561,False,"{'a': 0.002, 'e': 0.04415716841969286}",20,7,23.823828668777907,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1562,False,"{'a': 0.002, 'e': 0.04406894233834353}",25,13,20.426551143899687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1563,False,"{'a': 0.002, 'e': 0.04398089253282229}",25,15,21.953680407222517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1564,False,"{'a': 0.002, 'e': 0.04389301865092984}",25,16,9.507399988904822,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1565,False,"{'a': 0.002, 'e': 0.04380532034117049}",20,12,18.291147778015755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1566,False,"{'a': 0.002, 'e': 0.04371779725275094}",25,10,25.84186021235708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1567,False,"{'a': 0.002, 'e': 0.043630449035578674}",20,10,17.49452621501192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1568,False,"{'a': 0.002, 'e': 0.04354327534026074}",20,0,23.302217646003406,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1569,False,"{'a': 0.002, 'e': 0.04345627581810221}",25,8,17.8772087713477,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1570,False,"{'a': 0.002, 'e': 0.04336945012110491}",20,6,12.556073140818519,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1571,False,"{'a': 0.002, 'e': 0.043282797901965896}",25,18,11.628352875581477,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1572,False,"{'a': 0.002, 'e': 0.04319631881407622}",25,9,29.845722509299982,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1573,False,"{'a': 0.002, 'e': 0.043110012511519386}",20,10,13.35636201207549,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1574,False,"{'a': 0.002, 'e': 0.04302387864907009}",25,11,29.5284069859389,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1575,False,"{'a': 0.002, 'e': 0.042937916882192735}",25,9,26.967177420224687,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1576,False,"{'a': 0.002, 'e': 0.04285212686704019}",20,12,17.699746800949764,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1577,False,"{'a': 0.002, 'e': 0.04276650826045222}",25,18,7.484649141357034,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
